compound_name,best_adduct,polarity,rtmin,rtmax,mono_mass,mz,obs_mz,file_type
Sulfoacetic acid,[M-H]-,neg,14.42635002,15.1696473,139.977947,138.970671,138.9706813433891,Mix1
N-Methyltaurine,[M-H]-,both,7.101943389,8.103897045,139.030316,138.02304,138.02305629312787,Mix2
Toxopyrimidine,[M+H]+,both,2.992419416,4.120581746,139.07456200000001,140.081838,140.08172545125433,Mix1
2-mercaptoethanesulfonic acid,[M-H]-,neg,2.79793008,3.811790739,141.975839,140.96856300000002,140.96858101014922,Mix1
Ectoine,[M+H]+,both,9.350281032,10.12519146,142.074228,143.081504,143.08133202677027,Mix2
Butyrylglycine,[M-H]-,both,2.44548801,3.412841625,145.073894,144.066618,144.06661977931302,Mix6
Proline betaine,[M+H]+,both,6.250108966,7.363948188,143.094629,144.101905,144.10185887564433,Mix5
2-Ketoglutaric acid,[M-H]-,neg,12.54015083,13.2165334,146.021525,145.014249,145.01429552570613,Mix4
Hydroxyisoleucine,[M+H]+,both,8.13948349,9.786168148,147.089544,148.09681999999998,148.09680944635355,Mix5
(3-Carboxypropyl)trimethylammonium,[M+H]+,both,9.754189366,10.47376154,145.110279,146.11755499999998,146.1174480420499,Mix3
Acetylcholine,[M]+,pos,12.1,13.3,146.11755542,146.11755542,146.11746438051634,Mix6
2-keto-4-methylthiobutyric acid,[M-H]-,neg,2.071633225,2.58565018,148.019417,147.012141,147.0121966674883,Mix5
L-Glutamine,[M+H]+,both,10.64063579,11.64917964,146.069143,147.076419,147.07639299878906,Mix3
L-Lysine,[M+H]+,both,17.8302554,19.26689281,146.105528,147.11280399999998,147.11278823093681,Mix3
beta-Glutamic acid,[M+H]+,both,11.11733175,12.06669836,147.053159,148.06043499999998,148.06041721904472,Mix6
L-Glutamic acid,[M+H]+,both,11.6035927,12.25194062,147.053159,148.06043499999998,148.06042280490098,Mix3
O-Acetyl-L-serine,[M+H]+,both,5.397976864,7.505107613,147.053159,148.06043499999998,148.06041771350084,Mix5
2-Hydroxy-4-(methylthio)butyric acid,[M-H]-,neg,2.29649615,2.951552728,150.035067,149.027791,149.02776072078908,Mix5
Guanine,[M+H]+,both,8.100523202,9.050834304,151.04941,152.05668599999998,152.05664652734163,Mix2
L-Methionine,[M+H]+,both,6.595656034,7.897432423,149.051051,150.058327,150.05831664203836,Mix3
N6-Methyladenine,[M+H]+,both,3.015260003,4.286952614,149.070145,150.077421,150.07725477469185,Mix6
Xanthine,[M-H]-,both,7.841015541,8.841955333,152.033426,151.02615,151.02617557480536,Mix1
Dimethylsulfoxonium propionate,[M+H]+,pos,10.08148904,10.76223154,150.035067,151.042343,151.04223923071154,Mix1
L-Cysteinesulfinic acid,[M-H]-,both,11.52733486,12.3611152,153.009581,152.002305,152.00236771236086,Mix6
"2,5-Dihydroxybenzoic acid",[M-H]-,neg,3.16878565,4.286275198,154.02661,153.01933400000001,153.01932870524837,Mix1
Cysteinolic acid,[M-H]-,both,8.352722023,9.371724545,155.025231,154.017955,154.01798323614108,Mix6
Amino hydroxypropanesulfonate,[M-H]-,both,9.973862399,11.17813811,155.025231,154.017955,154.01798976939656,Mix1
"(R)-2,3-Dihydroxypropane-1-sulfonate",[M-H]-,neg,7.641296092,8.662857422,156.00924700000002,155.00197100000003,155.00198372830195,Mix1
Orotic acid,[M-H]-,neg,6.531587796,8.258508669,156.017108,155.00983200000002,155.00987920523258,Mix4
L-Histidine,[M+H]+,both,18.64267131,24.06745187,155.069477,156.076753,156.07674958512843,Mix3
Allantoin,[M-H]-,neg,9.844687576,10.59181067,158.043991,157.03671500000002,157.03676410663985,Mix3
5-Hydroxyectoine,[M+H]+,both,11.05664168,11.63267569,158.069143,159.076419,159.0763910975562,Mix2
L-2-Aminoadipic acid,[M+H]+,both,11.89641354,12.52043582,161.068809,162.07608499999998,162.076059536522,Mix1
Betonicine,[M+H]+,both,8.465206887,9.161307048,159.089544,160.09681999999998,160.09660486462423,Mix5
N-Methyl-L-glutamic acid,[M+H]+,both,9.544329571,10.16835185,161.068809,162.07608499999998,162.07598244068885,Mix1
Deoxynojirimycin,[M+H]+,both,9.930882446,10.65731844,163.084459,164.091735,164.09166800971488,Mix1
Carnitine,[M+H]+,pos,9.68010363,10.25563481,161.105194,162.11247,162.11233907653656,Mix5
L-Hydroxylysine,[M+H]+,both,16.27039266,18.18511947,162.100443,163.107719,163.10770481542295,Mix3
N-Acetyltaurine,[M-H]-,both,3.837963418,5.132299275,167.025231,166.017955,166.0179532507967,Mix1
Taurocyamine,[M+H]+,both,11.68760198,12.35921513,167.036464,168.04373999999999,168.04372404577902,Mix3
L-Methionine S-oxide,[M+H]+,both,8.761005243,9.74332522,165.045966,166.05324199999998,166.05323528517516,Mix5
Hordenine,[M+H]+,both,2.83602422,4.192038079,165.115364,166.12264,166.1224886624251,Mix5
3-Sulfopyruvic acid,[M-H]-,neg,15.03389949,15.89743998,167.97286200000002,166.96558600000003,166.96565043457252,Mix2
Phosphoenolpyruvic acid,[M-H]-,both,14.90187522,15.47071158,167.982378,166.97510200000002,166.97516392520268,Mix4
L-Cysteic acid,[M-H]-,both,12.63899998,13.3557514,169.004496,167.99722,167.99727085759116,Mix1
"2,3-Pyridinedicarboxylic acid",[M+H]+,pos,10.18021469,12.03641116,167.021859,168.029135,168.02913568248292,Mix6
3-Sulfolactate,[M]-,neg,13.87970812,14.46064101,168.98123558,168.98123558,168.98130590380455,Mix1
Dihydroxyacetone phosphate,[M-H]-,both,12.55687094,13.14263711,169.998028,168.99075200000001,168.99081540739087,Mix2
Glycerophosphoric acid,[M-H]-,both,12.23974196,13.0474327,172.013678,171.006402,171.0064757642007,Mix2
Sulfanilic acid,[M-H]-,neg,6.277974636,7.146829156,173.014666,172.00739000000002,172.00745339395482,Mix5
cis-Aconitic acid,[M-H]-,neg,15.21660865,15.99561645,174.01644000000002,173.00916400000003,173.00919192868858,Mix4
Shikimic acid,[M-H]-,neg,10.50776567,11.30652102,174.052825,173.04554900000002,173.04559144745002,Mix4
L-Theanine,[M+H]+,both,7.384068677,8.488080614,174.100443,175.107719,175.1076227458149,Mix1
L-Arginine,[M+H]+,both,18.48421639,19.9845425,174.111676,175.11895199999998,175.1189268155628,Mix3
Succinylglycine,[M+H]+,both,12.1446024,12.78234375,175.048074,176.05535,176.05534540859338,Mix6
Citrulline,[M+H]+,both,11.85380434,12.61528862,175.095692,176.102968,176.10295164948394,Mix5
Arsenobetaine,[M+H]+,both,6.928685948,7.921539933,177.997501,179.004777,179.00437594806954,Mix5
Gonyol,[M+H]+,pos,10.86643148,11.41698952,178.066367,179.073643,179.0735665368874,Mix5
Glucosamine,[M+H]+,pos,10.02239588,10.94205771,179.079374,180.08665,180.08677821146748,Mix4
Ethyl dihydroxybenzoate,[M-H]-,neg,1.742577105,2.438013701,182.05791,181.050634,181.05070476947697,Mix1
Mannitol,[M-H]-,neg,10.14716374,10.94323009,182.07904000000002,181.07176400000003,181.07181790927737,Mix1
Choline sulfate,[M+H]+,both,6.73554476,7.69548147,183.056531,184.063807,184.0636910791571,Mix3
L-Tyrosine,[M+H]+,both,8.620477928,9.637155771,181.073894,182.08117,182.0811609496425,Mix3
